marker,mean_orig,mean_rewrite,mean_diff,pct_change,wilcoxon_stat,p_value,significant,cohens_d,direction,p_value_fdr,significant_fdr
ld_unique_words,130.3833,172.2367,-41.8533,32.1,1.0,6.046580494759484e-51,True,2.407,decrease,1.4904721631744022e-49,True
ent_word,6.4776,6.8959,-0.4183,6.46,0.0,6.083559849691438e-51,True,2.5741,decrease,1.4904721631744022e-49,True
sty_mean_word_length,3.9974,4.3925,-0.3952,9.89,87.0,1.4531176225923358e-50,True,2.093,decrease,2.1519255748491185e-49,True
read_coleman_liau,5.7187,8.1434,-2.4247,42.4,106.0,1.7566739386523418e-50,True,1.9919,decrease,2.1519255748491185e-49,True
ld_mtld,69.4687,111.5926,-42.1239,60.64,342.0,1.8294175764538364e-49,True,1.746,decrease,1.7928292249247596e-48,True
read_syllables_per_word,1.3527,1.4585,-0.1058,7.82,426.0,4.187428048245103e-49,True,1.5671,decrease,3.419732906066834e-48,True
ld_hapax_ratio,0.695,0.7696,-0.0746,10.74,491.0,7.930673935198371e-49,True,1.5205,decrease,5.55147175463886e-48,True
sty_function_word_ratio,0.4538,0.409,0.0448,-9.87,936.0,8.97202635429905e-47,True,-1.4499,increase,5.495366142008168e-46,True
read_flesch_ease,75.5542,66.0361,9.5181,-12.6,1225.0,9.447498719889729e-46,True,-1.3053,increase,5.1436381919399624e-45,True
pos_punct_ratio,0.0941,0.1184,-0.0243,25.81,1794.0,4.597411629857736e-43,True,1.1778,decrease,2.252731698630291e-42,True
voice_first_person_density,0.0875,0.0763,0.0112,-12.85,5096.0,5.106884776508746e-31,True,-0.8002,increase,2.2748850368084413e-30,True
pos_pron_ratio,0.1611,0.1448,0.0163,-10.1,5325.0,1.838214460548401e-30,True,-0.8214,increase,7.506042380572638e-30,True
narr_past_tense_ratio,0.3983,0.4627,-0.0645,16.18,6802.5,9.727306594229491e-26,True,0.6982,decrease,3.666446331671115e-25,True
emo_word_density,0.0705,0.08,-0.0096,13.6,9658.0,8.707410606817961e-18,True,0.5665,decrease,3.0475937123862864e-17,True
voice_contraction_density,0.0204,0.014,0.0064,-31.39,9300.5,1.1024143209079609e-15,True,-0.4945,increase,3.6012201149660046e-15,True
sd_std_consecutive,0.1368,0.1204,0.0164,-12.01,10666.0,2.383961726196511e-15,True,-0.4979,increase,7.300882786476816e-15,True
