marker,mean_orig,mean_rewrite,mean_diff,pct_change,wilcoxon_stat,p_value,significant,cohens_d,direction,p_value_fdr,significant_fdr
read_syllables_per_word,1.3527,1.5161,-0.1634,12.08,0.0,6.083559849691437e-51,True,-2.4933,increase,5.732486408048581e-50,True
sty_mean_word_length,3.9974,4.478,-0.4806,12.02,0.0,6.083559849691437e-51,True,-2.6321,increase,5.732486408048581e-50,True
read_coleman_liau,5.7187,8.752,-3.0332,53.04,0.0,6.083559849691437e-51,True,-2.5394,increase,5.732486408048581e-50,True
ent_word,6.4776,6.8451,-0.3676,5.67,4.0,6.332503125761852e-51,True,-2.4719,increase,5.732486408048581e-50,True
ld_mtld,69.4687,121.1634,-51.6947,74.41,20.0,7.433876261066539e-51,True,-1.9634,increase,5.732486408048581e-50,True
ld_unique_words,130.3833,163.0133,-32.63,25.03,23.5,7.564373676922165e-51,True,-2.0418,increase,5.732486408048581e-50,True
ld_hapax_ratio,0.695,0.7898,-0.0948,13.64,33.0,8.467626874160474e-51,True,-2.0179,increase,5.732486408048581e-50,True
read_flesch_ease,75.5542,61.035,14.5192,-19.22,43.0,9.359161482528295e-51,True,2.0304,decrease,5.732486408048581e-50,True
sty_function_word_ratio,0.4538,0.3951,0.0587,-12.94,307.0,1.2943953880365664e-49,True,1.8437,decrease,7.047263779310194e-49,True
pos_pron_ratio,0.1611,0.1328,0.0282,-17.54,1417.0,5.793587814252913e-45,True,1.3575,decrease,2.8388580289839273e-44,True
pos_punct_ratio,0.0941,0.1181,-0.024,25.49,1636.0,4.495084451208826e-44,True,-1.2602,increase,2.0023558009930223e-43,True
emo_word_density,0.0705,0.0892,-0.0188,26.62,3702.0,3.9437094712523034e-36,True,-0.9969,increase,1.6103480340946906e-35,True
pos_noun_ratio,0.14,0.1601,-0.0201,14.33,4074.0,8.700585075008582e-35,True,-0.953,increase,3.2794512975032345e-34,True
pos_adj_ratio,0.0558,0.0689,-0.0132,23.59,4289.0,8.178207670230262e-34,True,-0.8947,increase,2.862372684580592e-33,True
ent_char,4.1704,4.1944,-0.024,0.58,4999.0,1.4660074063692038e-31,True,-0.8548,increase,4.788957527472733e-31,True
voice_contraction_density,0.0208,0.009,0.0118,-56.56,4575.5,4.062133755448321e-31,True,0.8162,decrease,1.2440284626060485e-30,True
causal_markers,2.3367,1.4602,0.8765,-37.51,5941.0,1.9245212551202451e-28,True,0.7816,decrease,5.5471495000524715e-28,True
voice_first_person_density,0.0875,0.0795,0.008,-9.19,8306.0,3.86319597833756e-21,True,0.5718,decrease,1.0516477941030023e-20,True
emo_granularity,2.5411,2.6671,-0.1259,4.96,8923.0,1.099400448990775e-19,True,-0.5544,increase,2.835295894765683e-19,True
sd_std_consecutive,0.1368,0.1178,0.019,-13.91,9628.0,7.318062631346712e-18,True,0.555,decrease,1.7929253446799445e-17,True
syn_min_sent_len,5.2467,6.8067,-1.56,29.73,6212.5,2.4960835076424946e-16,True,-0.5053,increase,5.824194851165821e-16,True
syn_mean_sent_len,15.8882,17.4124,-1.5242,9.59,11131.0,4.412886481025637e-14,True,-0.3802,increase,9.828701707738919e-14,True
syn_mean_depth,4.616,4.922,-0.306,6.63,11263.0,8.652435755377528e-14,True,-0.4083,increase,1.843345008754343e-13,True
coh_global_similarity,0.2424,0.2593,-0.0168,6.95,11434.0,1.2743401398941423e-13,True,-0.4152,increase,2.6017777856172076e-13,True
sent_std_compound,0.3587,0.3909,-0.0322,8.97,11612.0,3.089373000335668e-13,True,-0.449,increase,6.05517108065791e-13,True
sd_max_consecutive,0.9211,0.8881,0.033,-3.59,12030.0,2.3414498455970705e-12,True,0.4406,decrease,4.4127324013175554e-12,True
sty_exclamation_per_sent,0.0261,0.0065,0.0195,-74.94,54.0,1.978123010812583e-09,True,0.3205,decrease,3.589926945548762e-09,True
sent_pct_positive,0.4212,0.4772,-0.0561,13.31,12357.5,2.316713347925855e-09,True,-0.3749,increase,4.0542483588702465e-09,True
emo_volatility,1.0667,1.1931,-0.1264,11.85,13605.0,2.4450022258498826e-09,True,-0.3203,increase,4.1312106574704915e-09,True
sent_pct_negative,0.2178,0.2561,-0.0382,17.55,10900.0,3.5908991333986454e-09,True,-0.362,increase,5.865135251217788e-09,True
syn_subordination_ratio,1.1179,1.2384,-0.1205,10.78,13084.0,5.7953401772215255e-09,True,-0.2399,increase,9.160376409156605e-09,True
syn_std_sent_len,7.5765,6.5753,1.0012,-13.21,14334.0,4.246025012606097e-08,True,0.3603,decrease,6.501725800553086e-08,True
narr_past_tense_ratio,0.3983,0.4278,-0.0295,7.42,14348.0,2.2547297200661128e-07,True,-0.3387,increase,3.347932008583016e-07,True
voice_disfluency,0.0076,0.0053,0.0023,-29.96,10527.5,2.614528734335555e-07,True,0.3168,decrease,3.767997293601241e-07,True
pos_adv_ratio,0.0644,0.0699,-0.0055,8.48,14856.0,4.222386233958881e-07,True,-0.2953,increase,5.911340727542433e-07,True
conflict_second_person,0.01,0.0082,0.0018,-17.9,2974.0,7.4919813738833585e-06,True,0.2599,decrease,1.0197419092230126e-05,True
syn_n_sents,16.0267,15.2967,0.73,-4.55,12074.0,7.301009965724932e-05,True,0.2283,decrease,9.66890508974383e-05,True
voice_specific_number_density,0.0116,0.0106,0.001,-8.35,14028.0,0.000178549320725891,True,0.2102,decrease,0.00023023465040970158,True
sent_max_compound,0.7341,0.7633,-0.0293,3.99,15962.5,0.00023744480397212603,True,-0.2021,increase,0.00029832808704190195,True
sty_question_per_sent,0.0183,0.0124,0.0058,-31.94,276.0,0.0002859671596979972,True,0.2238,decrease,0.0003503097706300466,True
sent_min_compound,-0.5115,-0.5451,0.0335,-6.56,14502.5,0.003166718494591703,True,0.1688,decrease,0.003784614786219352,True
coh_local_similarity,0.3004,0.3077,-0.0072,2.41,19411.0,0.0353720031359357,True,-0.1309,increase,0.04126733699192498,True
sent_mean_compound,0.1172,0.1288,-0.0116,9.91,19447.0,0.03751326953485466,True,-0.1154,increase,0.042747679237392526,True
narr_action_verb_density,0.1378,0.1364,0.0014,-1.0,19754.0,0.06065838698408988,False,0.0838,decrease,0.06755138550500918,False
sd_spread,0.0633,0.0611,0.0022,-3.44,19909.0,0.07624499806875869,False,0.13,decrease,0.08302233123042613,False
moral_loyalty,0.0014,0.0015,-0.0001,5.34,2054.0,0.31669089757895297,False,-0.0269,increase,0.3373446517688847,False
voice_proper_noun_density,0.0102,0.0099,0.0003,-2.73,11191.0,0.42457572195300275,False,0.0448,decrease,0.4426427739510029,False
narr_temporal_marker_density,0.0127,0.0129,-0.0002,1.42,20334.5,0.4652605096165513,False,-0.0243,increase,0.47495343690022945,False
id,551.4,551.4,0.0,0.0,0.0,1.0,False,0.0,none,1.0,False
