marker,mean_orig,mean_rewrite,mean_diff,pct_change,wilcoxon_stat,p_value,significant,cohens_d,direction,p_value_fdr,significant_fdr
ld_unique_words,130.3833,168.95,-38.5667,29.58,4.5,6.281590027318529e-51,True,-2.118,increase,1.6476395269511117e-49,True
ent_word,6.4776,6.8503,-0.3727,5.75,10.0,6.725059293678006e-51,True,-2.264,increase,1.6476395269511117e-49,True
sty_function_word_ratio,0.4538,0.4117,0.0421,-9.29,541.0,1.2945426652998674e-48,True,1.5827,decrease,2.1144196866564502e-47,True
pos_punct_ratio,0.0941,0.1206,-0.0264,28.08,580.0,1.8957167826787087e-48,True,-1.4751,increase,2.3222530587814183e-47,True
ld_mtld,69.4687,97.0906,-27.6219,39.76,1179.0,6.1033377221441805e-46,True,-1.312,increase,5.981270967701297e-45,True
sty_mean_word_length,3.9974,4.1928,-0.1954,4.89,1657.0,5.464854826542578e-44,True,-1.3005,increase,4.462964775009772e-43,True
syn_n_sents,16.0267,21.1967,-5.17,32.26,1414.5,9.076652221692796e-42,True,-1.0492,increase,6.353656555184958e-41,True
read_coleman_liau,5.7187,6.7539,-1.0351,18.1,3588.0,1.5095782311329623e-36,True,-0.9805,increase,9.246166665689394e-36,True
coh_global_similarity,0.2424,0.2081,0.0343,-14.15,4100.0,1.0776346850166578e-34,True,0.8461,decrease,5.867122173979581e-34,True
ld_hapax_ratio,0.695,0.7334,-0.0384,5.53,4917.0,7.703652888052621e-32,True,-0.84,increase,3.7747899151457844e-31,True
voice_first_person_density,0.0875,0.0763,0.0111,-12.74,4986.0,2.160202386256393e-31,True,0.8203,decrease,9.62271972059666e-31,True
read_syllables_per_word,1.3527,1.3886,-0.0359,2.65,6951.0,2.7527076398988153e-25,True,-0.7082,increase,1.1240222862920162e-24,True
coh_local_similarity,0.3004,0.2616,0.0388,-12.92,7075.0,6.512858320432272e-25,True,0.6994,decrease,2.4548465977013946e-24,True
sd_spread,0.0633,0.0535,0.0098,-15.41,7601.0,2.3322216729792306e-23,True,0.6461,decrease,8.162775855427308e-23,True
syn_min_sent_len,5.2467,3.6967,1.55,-29.54,5524.0,5.209730082676509e-18,True,0.5349,decrease,1.7018451603409928e-17,True
emo_granularity,2.5411,2.6589,-0.1178,4.63,9720.0,1.245566242765059e-17,True,-0.5183,increase,3.8145466184679936e-17,True
pos_adv_ratio,0.0644,0.0726,-0.0082,12.79,11165.0,5.252579076703629e-14,True,-0.4483,increase,1.5139786750498695e-13,True
syn_mean_depth,4.616,4.2833,0.3327,-7.21,11770.5,4.3333306412519394e-12,True,0.4246,decrease,1.1796288967852502e-11,True
sty_exclamation_per_sent,0.0261,0.0035,0.0225,-86.43,3.5,9.029447904184023e-11,True,0.3747,decrease,2.3286470910790375e-10,True
voice_contraction_density,0.0204,0.0242,-0.0038,18.39,12657.5,1.0442537180042711e-10,True,-0.3778,increase,2.558421609110464e-10,True
voice_proper_noun_density,0.0102,0.0082,0.0019,-19.18,5930.5,1.1898684601696234e-10,True,0.3632,decrease,2.7763597403957883e-10,True
pos_noun_ratio,0.14,0.133,0.007,-4.98,13315.0,1.139330015080371e-09,True,0.3863,decrease,2.5375986699517353e-09,True
narr_past_tense_ratio,0.3983,0.428,-0.0297,7.47,13276.5,1.4976126607648474e-09,True,-0.3382,increase,3.1905661033685877e-09,True
sent_std_compound,0.3587,0.3376,0.0211,-5.88,14318.0,3.9979741466345356e-08,True,0.3347,decrease,8.162530549378843e-08,True
syn_mean_sent_len,15.8882,14.5283,1.3599,-8.56,14491.0,7.620281127904203e-08,True,0.3331,decrease,1.4935751010692237e-07,True
sd_max_consecutive,0.9211,0.9455,-0.0243,2.64,14663.0,2.1297858826196268e-07,True,-0.3208,increase,4.013827240321604e-07,True
sd_std_consecutive,0.1368,0.1287,0.0081,-5.93,15415.0,1.922246378135512e-06,True,0.2226,decrease,3.488521204764448e-06,True
sent_pct_positive,0.4212,0.3838,0.0374,-8.88,14676.5,1.016205168713278e-05,True,0.2729,decrease,1.7783590452482364e-05,True
conflict_second_person,0.01,0.011,-0.001,10.43,6281.5,0.00023586781798841491,True,-0.1628,increase,0.0003985352786700804,True
narr_temporal_marker_density,0.0127,0.0141,-0.0013,10.57,16123.0,0.00026577493739844596,True,-0.1946,increase,0.0004340990644174617,True
syn_std_sent_len,7.5765,7.8798,-0.3034,4.0,17214.0,0.0003637334140887857,True,-0.1118,increase,0.0005749334609790484,True
sent_mean_compound,0.1172,0.0982,0.019,-16.21,17381.0,0.0005522702409787782,True,0.2125,decrease,0.0008456638064987541,True
read_flesch_ease,75.5542,74.3513,1.2029,-1.59,17576.0,0.0008862269334362244,True,0.1906,decrease,0.001315912719344697,True
ent_char,4.1704,4.1759,-0.0055,0.13,17684.0,0.0011437992388085318,True,-0.2116,increase,0.00164841655004759,True
