condition,model,marker,category,citation,orig_mean,rewrite_mean,cohens_d,p_value,pct_change
generic,gpt54,mfw_top50_coverage,Function Words,Burrows 2002; Eder et al. 2016,0.671347993298808,0.6351570121184571,-0.7831454880566041,1.2158195607592684e-47,-5.3907930822164225
generic,gpt54,mfw_fw_ratio,Function Words,Burrows 2002; Eder et al. 2016,0.4712572704457465,0.45322873442309647,-0.5023978034257378,4.109623900595513e-27,-3.825625014887822
generic,gpt54,vocab_honores_r,Vocabulary,Honoré 1979,1829.037885518078,2082.911243262471,0.8068604710314815,2.5702588001788256e-34,13.880158511450578
generic,gpt54,ld_mtld,Vocabulary,McCarthy & Jarvis 2010,69.4687,85.4712,1.07,5.920375635465575e-40,23.04
generic,gpt54,wlen_mean,Vocabulary,Mendenhall 1887,3.997370964474503,4.135165807117492,0.6290532991909984,1.336604603864132e-41,3.447136727304049
generic,gpt54,char_3gram_entropy,Vocabulary,"Stamatatos 2009, 2013",8.79740276439843,8.9259639514612,0.5947163607199483,8.455873870918823e-50,1.4613538848424106
generic,gpt54,vocab_yules_k,Vocabulary,Yule 1944; Tweedie & Baayen 1998,137.17376645045996,123.58111190390858,-0.4059500135578718,1.6891517827798604e-30,-9.909077295373637
generic,gpt54,slen_mean,Syntax & Punctuation,Williams 1940; Stamatatos 2009,15.888186098426974,16.531868776254267,0.1800400032495543,1.1213994211501124e-07,4.051328917219956
generic,gpt54,punct_comma_ratio,Syntax & Punctuation,Stamatatos 2009; Grieve 2007,0.03212498549130149,0.05397550293200882,1.42476745439239,4.7157401852242776e-42,68.01720563149769
generic,gpt54,punct_dash_ratio,Syntax & Punctuation,Stamatatos 2009,0.0019129864299860736,0.0062227282651645364,0.7859660506620412,6.5590501308596195e-25,225.28867782976576
generic,gpt54,voice_contraction_density,Register,Biber 1988; Heylighen & Dewaele 2002,0.0204,0.019,-0.138,0.0019921768861244,-6.99
generic,gpt54,voice_first_person_density,Register,Biber 1988,0.0875,0.0843,-0.3261,7.078087588452569e-11,-3.63
generic,gpt54,emo_word_density,Register,Pennebaker et al. 2015,0.0705,0.0725,0.1628,0.0122648889633222,2.85
generic,claude_sonnet,mfw_top50_coverage,Function Words,Burrows 2002; Eder et al. 2016,0.671347993298808,0.5750662257847364,-2.174347980423908,6.525802264737956e-51,-14.34155884505904
generic,claude_sonnet,mfw_fw_ratio,Function Words,Burrows 2002; Eder et al. 2016,0.4712572704457465,0.4276578952057115,-1.2299309807474104,1.433632582519979e-45,-9.251714079402063
generic,claude_sonnet,vocab_honores_r,Vocabulary,Honoré 1979,1829.037885518078,2505.2556810110605,1.9565203461205776,3.976297706452969e-50,36.97122956539759
generic,claude_sonnet,ld_mtld,Vocabulary,McCarthy & Jarvis 2010,69.4687,111.5926,1.746,1.8294175764538364e-49,60.64
generic,claude_sonnet,wlen_mean,Vocabulary,Mendenhall 1887,3.997370964474503,4.392546140841323,1.750778386663715,1.4531176225923358e-50,9.885876989622098
generic,claude_sonnet,char_3gram_entropy,Vocabulary,"Stamatatos 2009, 2013",8.79740276439843,9.160713314428026,1.7744017031182597,6.083559849691437e-51,4.1297478330746715
generic,claude_sonnet,vocab_yules_k,Vocabulary,Yule 1944; Tweedie & Baayen 1998,137.17376645045996,104.14813461110312,-1.1141741957128912,1.2158195607592684e-47,-24.075763678388164
generic,claude_sonnet,slen_mean,Syntax & Punctuation,Williams 1940; Stamatatos 2009,15.888186098426974,17.100661526651574,0.34281358857763294,3.79855612587324e-09,7.63130177802136
generic,claude_sonnet,punct_comma_ratio,Syntax & Punctuation,Stamatatos 2009; Grieve 2007,0.03212498549130149,0.052089339452311964,1.2986533744346351,8.000702500762869e-37,62.14587697297558
